customer_id,store_name,transaction_date,aisle,product_name,quantity,unit_price,total_amount,discount_amount,final_amount,loyalty_points,month,year,DayOfWeek,profit
2824,GreenGrocer Plaza,2023-08-26,Produce,Pasta,2.0,7.46,14.92,0.0,14.92,377,8,2023,Saturday,14.92
4657,ValuePlus Market,2023-11-23,Bakery,Onions,4.0,7.38,29.52,4.04,25.48,301,11,2023,Thursday,21.44
2679,SuperSave Central,2025-01-13,Snacks & Candy,Cereal,3.0,5.5,16.5,1.37,15.13,490,1,2025,Monday,13.760000000000002
9935,GreenGrocer Plaza,2023-10-13,Canned Goods,Orange Juice,5.0,8.66,43.3,1.5,41.8,22,10,2023,Friday,40.3
7912,Corner Grocery,2023-08-31,Dairy,Onions,3.0,25.04,75.12,1.77,73.35,316,8,2023,Thursday,71.58
1488,GreenGrocer Plaza,2023-10-18,Produce,Ground Beef,3.0,29.56,88.68,2.52,86.16,437,10,2023,Wednesday,83.64
4582,City Fresh Store,2024-02-03,Health & Wellness,Orange Juice,2.0,11.73,23.46,0.0,23.46,107,2,2024,Saturday,23.46
9279,GreenGrocer Plaza,2024-11-16,Household Items,Apples,5.0,22.13,110.65,11.07,99.58,83,11,2024,Saturday,88.50999999999999
1434,QuickStop Market,2024-10-15,Health & Wellness,Onions,2.0,20.84,41.68,8.34,33.34,431,10,2024,Tuesday,25.000000000000004
4257,FreshMart Downtown,2025-02-13,Canned Goods,Tomatoes,3.0,2.91,8.73,1.75,6.98,467,2,2025,Thursday,5.23
9928,City Fresh Store,2024-06-27,Snacks & Candy,Salmon,2.0,8.67,17.34,0.0,17.34,126,6,2024,Thursday,17.34
4611,Corner Grocery,2024-07-20,Household Items,Tomatoes,3.0,7.35,22.05,4.02,18.03,70,7,2024,Saturday,14.010000000000002
5557,GreenGrocer Plaza,2025-04-26,Meat & Seafood,Apples,4.0,18.29,73.16,4.98,68.18,197,4,2025,Saturday,63.2
1106,ValuePlus Market,2025-03-18,Frozen Foods,Onions,1.0,20.72,20.72,0.0,20.72,58,3,2025,Tuesday,20.72
3615,MegaMart Westside,2025-01-30,Dairy,Rice,4.0,5.58,22.32,4.05,18.27,1,1,2025,Thursday,14.219999999999999
7924,ValuePlus Market,2024-04-27,Dairy,Rice,5.0,18.65,93.25,18.65,74.6,78,4,2024,Saturday,55.949999999999996
5552,ValuePlus Market,2023-12-05,Personal Care,Bananas,5.0,10.39,51.95,7.79,44.16,9,12,2023,Tuesday,36.37
4527,QuickStop Market,2025-03-22,Bakery,Milk,2.0,26.45,52.9,3.93,48.97,484,3,2025,Saturday,45.04
6514,GreenGrocer Plaza,2023-10-25,Personal Care,Eggs,2.0,20.12,40.24,6.04,34.2,484,10,2023,Wednesday,28.160000000000004
2519,ValuePlus Market,2024-05-28,Household Items,Cheese,2.0,27.93,55.86,0.0,55.86,386,5,2024,Tuesday,55.86
2584,QuickStop Market,2024-05-11,Snacks & Candy,Orange Juice,4.0,27.08,108.32,21.66,86.66,231,5,2024,Saturday,65.0
6635,FamilyFood Express,2024-11-17,Dairy,Cereal,1.0,18.05,18.05,1.28,16.77,117,11,2024,Sunday,15.49
5333,FreshMart Downtown,2025-04-24,Bakery,Bread,1.0,25.92,25.92,3.89,22.03,36,4,2025,Thursday,18.14
1711,City Fresh Store,2025-02-23,Bakery,Onions,2.0,21.97,43.94,8.79,35.15,451,2,2025,Sunday,26.36
8527,City Fresh Store,2024-09-26,Snacks & Candy,Yogurt,1.0,3.8,3.8,0.38,3.42,220,9,2024,Thursday,3.04
3045,Corner Grocery,2025-07-23,Beverages,Milk,1.0,2.75,2.75,1.99,0.76,372,7,2025,Wednesday,-1.23
7201,FamilyFood Express,2023-10-07,Personal Care,Salmon,2.0,13.22,26.44,5.29,21.15,142,10,2023,Saturday,15.86
6925,FamilyFood Express,2024-10-28,Meat & Seafood,Cheese,4.0,14.95,59.8,1.66,58.14,442,10,2024,Monday,56.480000000000004
4150,FreshMart Downtown,2025-02-04,Snacks & Candy,Pasta,4.0,9.26,37.04,7.41,29.63,356,2,2025,Tuesday,22.22
2139,FamilyFood Express,2023-09-11,Frozen Foods,Yogurt,1.0,17.79,17.79,0.0,17.79,277,9,2023,Monday,17.79
4733,MegaMart Westside,2025-03-29,Produce,Milk,5.0,14.82,74.1,4.84,69.26,470,3,2025,Saturday,64.42
5741,GreenGrocer Plaza,2023-10-07,Meat & Seafood,Bread,5.0,2.96,14.8,1.48,13.32,441,10,2023,Saturday,11.84
4814,GreenGrocer Plaza,2025-06-10,Household Items,Ground Beef,5.0,18.23,91.15,9.12,82.03,317,6,2025,Tuesday,72.91
2654,ValuePlus Market,2024-05-28,Canned Goods,Pasta,2.0,20.41,40.82,6.12,34.7,160,5,2024,Tuesday,28.580000000000002
5554,Corner Grocery,2024-07-24,Meat & Seafood,Rice,4.0,10.16,40.64,2.83,37.81,384,7,2024,Wednesday,34.980000000000004
6977,GreenGrocer Plaza,2023-12-11,Dairy,Onions,2.0,15.66,31.32,4.52,26.8,67,12,2023,Monday,22.28
7065,MegaMart Westside,2024-05-08,Frozen Foods,Apples,4.0,25.17,100.68,4.94,95.74,360,5,2024,Wednesday,90.8
4432,ValuePlus Market,2025-01-08,Produce,Onions,3.0,28.01,84.03,12.6,71.43,53,1,2025,Wednesday,58.830000000000005
5374,GreenGrocer Plaza,2025-02-02,Dairy,Onions,2.0,8.89,17.78,0.0,17.78,309,2,2025,Sunday,17.78
2169,MegaMart Westside,2024-11-22,Bakery,Pasta,5.0,15.16,75.8,3.54,72.26,463,11,2024,Friday,68.72
3803,QuickStop Market,2024-09-24,Produce,Bananas,3.0,23.35,70.05,14.01,56.04,326,9,2024,Tuesday,42.03
5010,City Fresh Store,2023-12-11,Personal Care,Cheese,5.0,1.27,6.35,1.14,5.21,38,12,2023,Monday,4.07
8573,MegaMart Westside,2024-05-27,Household Items,Onions,2.0,13.45,26.9,4.03,22.87,21,5,2024,Monday,18.84
5422,FreshMart Downtown,2025-07-25,Canned Goods,Yogurt,2.0,20.33,40.66,4.0,36.66,181,7,2025,Friday,32.66
4598,FamilyFood Express,2025-01-19,Meat & Seafood,Apples,4.0,1.71,6.84,0.68,6.16,377,1,2025,Sunday,5.48
6313,FamilyFood Express,2025-05-22,Frozen Foods,Apples,1.0,12.08,12.08,2.42,9.66,19,5,2025,Thursday,7.24
1916,FamilyFood Express,2024-01-31,Beverages,Orange Juice,3.0,24.79,74.37,14.87,59.5,446,1,2024,Wednesday,44.63
1525,FreshMart Downtown,2025-04-23,Health & Wellness,Yogurt,4.0,10.51,42.04,6.31,35.73,442,4,2025,Wednesday,29.419999999999998
6168,MegaMart Westside,2024-06-13,Health & Wellness,Carrots,4.0,20.7,82.8,1.46,81.34,431,6,2024,Thursday,79.88000000000001
5386,QuickStop Market,2023-09-27,Meat & Seafood,Pasta,1.0,4.13,4.13,0.0,4.13,222,9,2023,Wednesday,4.13
